subject_number,ignore_sample,test_type,find row by,question type,target_row_up,target_row_down,question_row_up,question_row_down,focus_start,focus_end,question_start,text_order,num of row counting
8,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,4.8125,9.312,0.75,5,0
10,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,4.35,15.5,0.75,6,0
11,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,14.11,26.36,3.5,1,0
12,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,6.782,30.1875,0.8125,8,0
13,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,12.932,18.875,2.125,2,0
14,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,6.373,12.022,1.875,7,0
15,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,5.126,16.467,0.91998,6,0
16,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,4.479,14.602,0.91968,3,0
17,0,13pt1.5sp,indented,exist,0.396,0.406,0.562,0.572,4.31995,11.029,0.19763,5,1
9,1,13pt1.5sp_hide,indented,exist,0.396,0.406,0.562,0.572,5.8125,15.9375,1.375,4,NULL
1,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,42.397,51.38916,40.16943,3,1
2,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,15.57324,19.25391,1.51025,4,1
4,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,40.398,50.093,38.375,2,0
5,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,4.811,11.3125,0.59375,6,0
6,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,5.088,18.1875,0.75,8,0
7,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,7.261,12.5,0,2,1
8,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,3,6,1.1875,2,0
10,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,5.395,11.5,2.75,1,0
11,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,10.42,18.25,1.125,5,1
12,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,59.36,73.187,55.625,1,0
13,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,31.695,43.375,29.5,1,0
14,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,4.632,10.313,0.75,4,1
15,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,3.885,15.226,0,8,0
16,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,5.591,14.42383,1.34729,5,0
17,0,13pt1sp,number,count,0.285,0.294,0.489,0.499,4.00745,8.34473,0,6,0
9,1,13pt1sp_hide,number,count,0.285,0.294,0.489,0.499,45.0625,51.375,33.3125,1,NULL
1,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,86.089,98.951,75.47363,8,1
2,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,66.27344,69.22949,56.05566,1,1
4,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,10,14.875,0.59375,6,1
5,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,20,41.71875,2.34375,2,4
6,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,11.355,18.5625,0.375,3,2
7,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,15.75,25.125,0.6875,3,1
8,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,8.456,21.5,0.67347,8,1
10,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,12.598,25,0.5625,4,1
11,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,14.625,28.49,1.75,2,1
12,0,13pt2sp,number,exist,0.451,0.461,0.674,0.684,11.519,24.1875,1.3125,4,1
