test_type,row_index,X,Y,width,height
20pt1.2sp,gap4,0.18,0.339,0.776,0.025
20pt1.2sp,row5,0.18,0.362,0.776,0.014
20pt1.2sp,gap5,0.18,0.375,0.776,0.025
20pt1.2sp,row6,0.18,0.398,0.776,0.014
20pt1.2sp,gap6,0.18,0.41,0.776,0.025
20pt1.2sp,row7,0.18,0.433,0.776,0.014
20pt1.2sp,gap7,0.18,0.445,0.776,0.025
20pt1.2sp,row8,0.18,0.468,0.776,0.014
20pt1.2sp,gap8,0.18,0.48,0.776,0.025
20pt1.2sp,row9,0.18,0.504,0.776,0.014
20pt1.2sp,gap9,0.18,0.515,0.776,0.025
20pt1.2sp,row10,0.18,0.539,0.776,0.014
20pt1.2sp,gap10,0.18,0.551,0.776,0.025
20pt1.2sp,row11,0.18,0.574,0.776,0.014
20pt1.2sp,gapQuestion,0.18,0.586,0.776,0.094
20pt1.2sp,question,0.18,0.68,0.776,0.014
13pt1sp,gap0,0.288,0.256,0.424,0.01
13pt1sp,row1,0.288,0.266,0.424,0.01
13pt1sp,gap1,0.288,0.275,0.424,0.01
13pt1sp,row2,0.288,0.285,0.424,0.01
13pt1sp,gap2,0.288,0.294,0.424,0.01
13pt1sp,row3,0.288,0.303,0.424,0.01
13pt1sp,gap3,0.288,0.313,0.424,0.01
13pt1sp,row4,0.288,0.321,0.424,0.01
13pt1sp,gap4,0.288,0.33,0.424,0.01
13pt1sp,row5,0.288,0.34,0.424,0.01
13pt1sp,gap5,0.288,0.349,0.424,0.01
13pt1sp,row6,0.288,0.359,0.424,0.01
13pt1sp,gap6,0.288,0.369,0.424,0.01
13pt1sp,row7,0.288,0.378,0.424,0.01
13pt1sp,gap7,0.288,0.387,0.424,0.01
13pt1sp,row8,0.288,0.395,0.424,0.01
13pt1sp,gap8,0.288,0.405,0.424,0.01
13pt1sp,row9,0.288,0.415,0.424,0.01
13pt1sp,gap9,0.288,0.424,0.424,0.01
13pt1sp,row10,0.288,0.433,0.424,0.01
13pt1sp,gapQuestion,0.288,0.443,0.424,0.046
13pt1sp,question,0.288,0.489,0.424,0.01
13pt1.2spB,gap0,0.28,0.261,0.461,0.013
13pt1.2spB,row1,0.28,0.274,0.461,0.011
13pt1.2spB,gap1,0.28,0.283,0.461,0.013
13pt1.2spB,row2,0.28,0.295,0.461,0.011
13pt1.2spB,gap2,0.28,0.306,0.461,0.013
13pt1.2spB,row3,0.28,0.317,0.461,0.011
13pt1.2spB,gap3,0.28,0.328,0.461,0.013
13pt1.2spB,row4,0.28,0.34,0.461,0.011
13pt1.2spB,gap4,0.28,0.351,0.461,0.013
13pt1.2spB,row5,0.28,0.362,0.461,0.011
13pt1.2spB,gap5,0.28,0.372,0.461,0.013
13pt1.2spB,row6,0.28,0.384,0.461,0.011
13pt1.2spB,gap6,0.28,0.395,0.461,0.013
13pt1.2spB,row7,0.28,0.407,0.461,0.011
13pt1.2spB,gap7,0.28,0.418,0.461,0.013
13pt1.2spB,row8,0.28,0.428,0.461,0.011
13pt1.2spB,gap8,0.28,0.439,0.461,0.013
13pt1.2spB,row9,0.28,0.45,0.461,0.011
13pt1.2spB,gap9,0.28,0.461,0.461,0.013
13pt1.2spB,row10,0.28,0.473,0.461,0.011
13pt1.2spB,gapQuestion,0.28,0.484,0.461,0.056
13pt1.2spB,question,0.28,0.54,0.461,0.011
13pt1.5sp,gap0,0.268,0.212,0.322,0.019
13pt1.5sp,row1,0.268,0.229,0.322,0.01
13pt1.5sp,gap1,0.268,0.239,0.322,0.019
13pt1.5sp,row2,0.268,0.257,0.322,0.01
13pt1.5sp,gap2,0.268,0.266,0.322,0.019
13pt1.5sp,row3,0.268,0.285,0.322,0.01
13pt1.5sp,gap3,0.268,0.294,0.322,0.019
13pt1.5sp,row4,0.268,0.313,0.322,0.01
13pt1.5sp,gap4,0.268,0.323,0.322,0.019
13pt1.5sp,row5,0.268,0.341,0.322,0.01
13pt1.5sp,gap5,0.268,0.351,0.322,0.019
13pt1.5sp,row6,0.268,0.368,0.322,0.01
13pt1.5sp,gap6,0.268,0.377,0.322,0.019
13pt1.5sp,row7,0.268,0.396,0.322,0.01
13pt1.5sp,gap7,0.268,0.406,0.322,0.019
13pt1.5sp,row8,0.268,0.423,0.322,0.01
13pt1.5sp,gap8,0.268,0.433,0.322,0.019
13pt1.5sp,row9,0.268,0.451,0.322,0.01
13pt1.5sp,gap9,0.268,0.461,0.322,0.019
13pt1.5sp,row10,0.268,0.479,0.322,0.01
13pt1.5sp,gapQuestion,0.268,0.489,0.322,0.073
13pt1.5sp,question,0.268,0.562,0.322,0.01
