MEDIA_NAME,TIME(2020/06/25 11:57:48.782),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.25,0.47075,0.35822,0,0.25,1,
start screen,0.4375,0.53074,0.60747,0.3125,0.125,1,
start screen,0.9375,0.53716,0.51944,0.625,0.3125,1,
start screen,1.25,0.54096,0.47932,0.9375,0.3125,1,
13pt1sp,0.375,0.51786,0.479,0,0.375,1,Question
13pt1sp,0.6875,0.46846,0.43914,0.375,0.3125,1,row10
13pt1sp,1,0.47883,0.3564,0.75,0.25,1,gap5
13pt1sp,1.0625,0.53265,0.30584,1.0625,0,1,row3
13pt1sp,1.4375,0.63138,0.16474,1.1875,0.25,1,
13pt1sp,5.125,0.67697,0.03393,5,0.125,1,
13pt1sp,5.5625,0.63651,0.61309,5.5,0.0625,1,
13pt1sp,5.875,0.56771,0.53963,5.625,0.25,1,
13pt1sp,6.25,0.55559,0.62211,6,0.25,1,
13pt1sp,6.5,0.57815,0.49381,6.25,0.25,1,Question
13pt1sp,8.8125,1.28571,-3.23042,8.625,0.1875,1,
13pt1sp,9.25,0.4349,0.59703,9.0625,0.1875,1,
13pt1sp,9.375,0.48585,0.29583,9.3125,0.0625,1,gap2
13pt1sp,9.6875,0.54248,0.16077,9.5625,0.125,1,
13pt1sp,11.25,0.62072,0.16194,11.0625,0.1875,1,
13pt1sp,11.625,0.61391,0.21521,11.5,0.125,1,
13pt1sp,12.125,0.58611,0.32019,11.75,0.375,1,gap3
13pt1sp,12.4375,0.38191,0.52814,12.25,0.1875,1,
13pt1sp,12.75,0.41844,0.48329,12.5,0.25,1,Question
13pt1sp,13,0.44766,0.39584,12.8125,0.1875,1,gap7-row8
13pt1sp,13.375,0.4649,0.45084,13.0625,0.3125,1,gapQuestion
13pt1sp,13.5625,0.45691,0.42193,13.375,0.1875,1,row9
13pt1sp,13.9375,0.48219,0.48752,13.6875,0.25,1,Question
13pt1sp,14.1875,0.49194,0.42261,14,0.1875,1,row9
13pt1sp,14.75,0.52064,0.3992,14.1875,0.5625,1,row8
13pt1sp,15.6875,0.50885,0.45731,15.4375,0.25,1,gapQuestion
13pt1sp,16,0.44012,0.49571,15.75,0.25,1,Question
13pt1sp,16.5625,0.42078,0.49708,16,0.5625,1,Question
13pt1sp,17.3125,0.53061,0.48853,17.0625,0.25,1,Question
13pt1sp,17.375,0.51297,0.46287,17.3125,0.0625,1,gapQuestion
13pt1sp,18.5625,0.53425,0.40399,18.3125,0.25,1,row8
13pt1sp,19,0.56006,0.45347,18.5625,0.4375,1,gapQuestion
13pt1sp,19.375,0.58589,0.43225,19,0.375,1,gap9
13pt1sp,19.75,0.57807,0.34186,19.4375,0.3125,1,row5
13pt1sp,20,0.62197,0.24907,19.9375,0.0625,1,
13pt1sp,20.75,0.42361,0.48488,20.3125,0.4375,1,Question
13pt1sp,21,0.44979,0.47208,20.75,0.25,1,Question
13pt1sp,21.4375,0.45165,0.41397,21.1875,0.25,1,gap8
13pt1sp,21.875,0.6305,0.09622,21.6875,0.1875,1,
13pt1sp,22.5,0.46654,0.42614,22.1875,0.3125,1,gap9
13pt1sp,23.25,0.42743,0.54864,22.625,0.625,1,
13pt1sp,24,0.45608,0.44416,23.25,0.75,1,gapQuestion
13pt1sp,24.3125,0.49461,0.48641,24.125,0.1875,1,Question
13pt1sp,24.8125,0.4977,0.58959,24.5625,0.25,1,
13pt1sp,25.0625,0.53347,0.4862,24.875,0.1875,1,Question
13pt1sp,25.5625,0.39025,0.57632,25.3125,0.25,1,
13pt1sp,25.8125,0.38827,0.54101,25.5625,0.25,1,
13pt1sp,26.0625,0.42647,0.68417,25.8125,0.25,1,
13pt1sp,26.125,0.42151,0.61327,26.0625,0.0625,1,
13pt1sp,26.4375,0.55258,0.06512,26.1875,0.25,1,
13pt1sp,26.75,0.50701,0.3868,26.5625,0.1875,1,row7
13pt1sp,27.75,0.4468,0.57641,27.5,0.25,1,
13pt1sp,28.1875,0.40816,0.52234,27.75,0.4375,1,
13pt1sp,28.5625,0.40585,0.57707,28.1875,0.375,1,
13pt1sp,29,0.41012,0.53448,28.5625,0.4375,1,
13pt1sp,29.25,0.41742,0.54638,29,0.25,1,
13pt1sp,29.625,0.44032,0.49494,29.25,0.375,1,Question
13pt1sp,29.875,0.4358,0.69618,29.6875,0.1875,1,
13pt1sp,30.25,0.46724,0.49674,30,0.25,1,Question
13pt1sp,30.3125,0.4942,0.40813,30.25,0.0625,1,gap8
13pt1sp,31.125,0.50752,0.46971,30.8125,0.3125,1,gapQuestion-Question
13pt1sp,31.375,0.5953,0.2695,31.1875,0.1875,1,row1
13pt1sp,32.9375,0.41627,0.49044,32.375,0.5625,1,Question
13pt1sp,33.3125,0.43785,0.58029,32.9375,0.375,1,
13pt1sp,33.6875,0.48117,0.64087,33.3125,0.375,1,
13pt1sp,34.1875,0.4813,0.61,33.6875,0.5,1,
13pt1sp,34.5,0.41221,0.6343,34.3125,0.1875,1,
13pt1sp,34.9375,0.40433,0.6986,34.5625,0.375,1,
13pt1sp,35.25,0.44365,0.62557,34.9375,0.3125,1,
13pt1sp,36.5625,0.44699,0.65383,36,0.5625,1,
13pt1sp,36.875,0.44459,0.65828,36.5625,0.3125,1,
13pt1sp,37.3125,0.47052,0.67999,37.0625,0.25,1,
13pt1sp,38.125,0.4665,0.42324,37.875,0.25,1,row9
13pt1sp,38.3125,0.46621,0.51968,38.25,0.0625,1,
13pt1sp,38.75,0.51131,0.26109,38.5,0.25,1,gap0
13pt1sp,39.75,0.43295,0.66101,39.5,0.25,1,
13pt1sp,39.9375,0.42227,0.67018,39.75,0.1875,1,
13pt1sp,40.3125,0.44618,0.64529,40.1875,0.125,1,
13pt1sp,41,0.58159,0.35255,40.6875,0.3125,1,gap5
