MEDIA_NAME,TIME(2020/06/25 11:24:09.913),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.5,0.64314,0.27118,0.125,0.375,1,
start screen,1,0.58524,0.46949,0.875,0.125,1,
start screen,1.5625,0.59411,0.43342,1.25,0.3125,1,
20pt1.2sp,0.3125,0.58844,0.4287,0,0.3125,1,gap6
20pt1.2sp,0.625,0.35464,0.16453,0.4375,0.1875,1,
20pt1.2sp,1.0625,0.31122,0.12388,0.625,0.4375,1,
20pt1.2sp,1.25,0.46955,0.10278,1.0625,0.1875,1,
20pt1.2sp,1.5625,0.59469,0.13129,1.3125,0.25,1,
20pt1.2sp,1.875,0.77906,0.18875,1.625,0.25,1,
20pt1.2sp,2.1875,0.9066,0.21052,1.875,0.3125,1,gap0
20pt1.2sp,2.3125,0.27182,0.24389,2.25,0.0625,1,gap1
20pt1.2sp,3.0625,0.37424,0.15685,2.625,0.4375,1,
20pt1.2sp,3.375,0.53496,0.19951,3.125,0.25,1,gap0
20pt1.2sp,3.6875,0.65102,0.21097,3.4375,0.25,1,gap0
20pt1.2sp,4.1875,0.74515,0.22528,3.875,0.3125,1,row1
20pt1.2sp,4.4375,0.70179,0.2267,4.1875,0.25,1,row1
20pt1.2sp,4.6875,0.5912,0.22089,4.4375,0.25,1,gap0
20pt1.2sp,5.625,0.40318,0.19508,5.0625,0.5625,1,
20pt1.2sp,5.75,0.47775,0.22757,5.6875,0.0625,1,row1
20pt1.2sp,6.5,0.40373,0.21631,6.25,0.25,1,gap0
20pt1.2sp,6.875,0.2722,0.2142,6.5625,0.3125,1,gap0
20pt1.2sp,7.1875,0.36097,0.22206,6.9375,0.25,1,gap0-row1
20pt1.2sp,7.5,0.46444,0.25901,7.1875,0.3125,1,row2
20pt1.2sp,7.8125,0.48547,0.23844,7.5,0.3125,1,gap1
20pt1.2sp,8.125,0.54217,0.25502,7.8125,0.3125,1,gap1
20pt1.2sp,8.4375,0.60716,0.2903,8.125,0.3125,1,gap2
20pt1.2sp,8.8125,0.70016,0.28668,8.4375,0.375,1,gap2
20pt1.2sp,9,0.60221,0.28959,8.8125,0.1875,1,gap2
20pt1.2sp,9.375,0.27914,0.2541,9.0625,0.3125,1,gap1
20pt1.2sp,9.6875,0.38379,0.27007,9.4375,0.25,1,row2-gap2
20pt1.2sp,9.9375,0.5132,0.3034,9.6875,0.25,1,row3
20pt1.2sp,10.375,0.65294,0.32701,10.125,0.25,1,gap3-row4
20pt1.2sp,10.75,0.76523,0.32941,10.375,0.375,1,row4
20pt1.2sp,11.0625,0.87668,0.35416,10.8125,0.25,1,gap4
20pt1.2sp,11.5625,1.01977,0.38247,11.3125,0.25,1,
20pt1.2sp,11.8125,1.00158,0.41539,11.5625,0.25,1,
20pt1.2sp,12.25,0.30888,0.31329,12,0.25,1,gap3
20pt1.2sp,12.625,0.42924,0.311,12.3125,0.3125,1,gap3
20pt1.2sp,12.875,0.51887,0.35912,12.625,0.25,1,gap4
20pt1.2sp,13.25,0.60696,0.3433,12.9375,0.3125,1,gap4
20pt1.2sp,13.5625,0.72917,0.36524,13.25,0.3125,1,row5
20pt1.2sp,13.8125,0.86106,0.39173,13.5625,0.25,1,gap5
