MEDIA_NAME,TIME(2020/06/25 16:15:14.638),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.6875,0.51348,0.34076,0,0.6875,1,
start screen,1.125,0.50595,0.32077,0.8125,0.3125,1,
13pt1sp,0.125,0.51451,0.3379,0,0.125,1,gap4
13pt1sp,0.4375,0.50311,0.37321,0.1875,0.25,1,gap6
13pt1sp,0.6875,0.37793,0.30091,0.4375,0.25,1,gap2
13pt1sp,1,0.30477,0.17769,0.6875,0.3125,1,
13pt1sp,1.1875,0.30561,0.29557,1,0.1875,1,gap2
13pt1sp,1.6875,0.3234,0.42457,1.25,0.4375,1,row9-gap9
13pt1sp,1.9375,0.33139,0.29053,1.6875,0.25,1,row2
13pt1sp,2.6875,0.31483,0.20771,1.9375,0.75,1,
13pt1sp,3.25,0.32173,0.4064,2.75,0.5,1,gap8
13pt1sp,3.6875,0.39047,0.43678,3.3125,0.375,1,row10
13pt1sp,4.125,0.43222,0.42187,3.6875,0.4375,1,row9
13pt1sp,4.9375,0.4865,0.40697,4.125,0.8125,1,gap8
13pt1sp,5.1875,0.43381,0.3329,5,0.1875,1,gap4
13pt1sp,5.9375,0.29877,0.26135,5.25,0.6875,1,gap0
13pt1sp,6.5625,0.31868,0.21241,6,0.5625,1,
13pt1sp,7.375,0.37034,0.23522,6.5625,0.8125,1,
13pt1sp,8.25,0.42347,0.20253,7.4375,0.8125,1,
13pt1sp,8.6875,0.44604,0.19024,8.25,0.4375,1,
13pt1sp,9,0.47882,0.20779,8.6875,0.3125,1,
13pt1sp,9.5,0.51573,0.18564,9,0.5,1,
13pt1sp,9.9375,0.54163,0.22436,9.5625,0.375,1,
13pt1sp,10.3125,0.56613,0.19294,9.9375,0.375,1,
13pt1sp,11.0625,0.61987,0.17137,10.3125,0.75,1,
13pt1sp,11.5625,0.60987,0.17426,11.0625,0.5,1,
13pt1sp,11.9375,0.47825,0.40967,11.625,0.3125,1,gap8
13pt1sp,12.1875,0.41099,0.43069,11.9375,0.25,1,gap9
13pt1sp,13.3125,0.35016,0.40456,12.1875,1.125,1,row8
13pt1sp,13.625,0.32769,0.39326,13.375,0.25,1,gap7
13pt1sp,13.9375,0.34888,0.41034,13.6875,0.25,1,gap8
10pt1.2sp,0.1875,0.33734,0.39887,0,0.1875,1,
10pt1.2sp,0.6875,0.36659,0.2446,0.25,0.4375,1,
10pt1.2sp,1.1875,0.36303,0.15879,0.6875,0.5,1,
10pt1.2sp,1.6875,0.36058,0.42226,1.25,0.4375,1,gap9-row10
10pt1.2sp,1.9375,0.39806,0.40921,1.6875,0.25,1,row9
10pt1.2sp,2.5625,0.44362,0.40411,2.125,0.4375,1,gap8
10pt1.2sp,3.625,0.47806,0.3986,2.5625,1.0625,1,gap8
10pt1.2sp,4.125,0.42489,0.41009,3.625,0.5,1,row9
10pt1.2sp,4.5625,0.4172,0.40558,4.125,0.4375,1,gap8
10pt1.2sp,4.9375,0.45641,0.38399,4.5625,0.375,1,gap7
10pt1.2sp,5.875,0.44926,0.39411,4.9375,0.9375,1,row8
10pt1.2sp,6.25,0.47445,0.38139,5.875,0.375,1,gap7
10pt1.2sp,6.75,0.34563,0.2049,6.3125,0.4375,1,
10pt1.2sp,7.125,0.40258,0.41779,6.8125,0.3125,1,gap9
10pt1.2sp,7.3125,0.35018,0.27208,7.125,0.1875,1,row1-gap0
10pt1.2sp,8.125,0.34415,0.19488,7.375,0.75,1,
10pt1.2sp,8.5,0.34675,0.22246,8.125,0.375,1,
10pt1.2sp,9.4375,0.35732,0.19533,8.5,0.9375,1,
