MEDIA_NAME,TIME(2020/07/22 18:04:25.858),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.0625,0.21664,0.14459,0,0.0625,1,
start screen,0.375,0.41137,0.04152,0.125,0.25,1,
start screen,0.6875,0.63394,0.30655,0.4375,0.25,1,
start screen,1.25,0.5289,0.32358,0.8125,0.4375,1,
start screen,1.5625,0.66165,0.29437,1.3125,0.25,1,
13pt1sp,0.4375,0.49348,0.2538,0,0.4375,1,
13pt1sp,0.875,0.29303,0.22328,0.5,0.375,1,
13pt1sp,1.5625,0.33076,0.21209,0.875,0.6875,1,
13pt1sp,2,0.37534,0.15142,1.5625,0.4375,1,
13pt1sp,2.5625,0.39903,0.18008,2,0.5625,1,
13pt1sp,3,0.45161,0.21776,2.5625,0.4375,1,
13pt1sp,3.9375,0.51173,0.19224,3.0625,0.875,1,
13pt1sp,4.375,0.53321,0.20794,3.9375,0.4375,1,
13pt1sp,5.375,0.52129,0.20826,4.375,1,1,
13pt1sp,6,0.58561,0.23699,5.375,0.625,1,
13pt1sp,6.6875,0.62935,0.2351,6.0625,0.625,1,
13pt1sp,7.3125,0.6564,0.23615,6.6875,0.625,1,
13pt1sp,7.625,0.63847,0.22145,7.375,0.25,1,
13pt1sp,8.125,0.57498,0.22565,7.625,0.5,1,
13pt1sp,8.625,0.29565,0.25063,8.1875,0.4375,1,
13pt1sp,8.9375,0.32747,0.22172,8.6875,0.25,1,
13pt1sp,9.4375,0.31743,0.21919,8.9375,0.5,1,
13pt1sp,10.3125,0.36485,0.25189,9.4375,0.875,1,
13pt1sp,10.8125,0.41079,0.21968,10.3125,0.5,1,
13pt1sp,11.1875,0.44826,0.22743,10.8125,0.375,1,
13pt1sp,12.0625,0.5104,0.24121,11.25,0.8125,1,
13pt1sp,12.625,0.51111,0.21666,12.125,0.5,1,
13pt1sp,13.125,0.55108,0.22847,12.625,0.5,1,
13pt1sp,13.4375,0.5655,0.20779,13.125,0.3125,1,
13pt1sp,14.0625,0.5557,0.25205,13.5,0.5625,1,
13pt1sp,14.6875,0.60598,0.2325,14.0625,0.625,1,
13pt1sp,14.9375,0.51713,0.31237,14.6875,0.25,1,row3
13pt1sp,15.4375,0.29726,0.25328,15.0625,0.375,1,
13pt1sp,15.75,0.30771,0.26624,15.4375,0.3125,1,row1
13pt1sp,16.5625,0.36874,0.24103,16.0625,0.5,1,
13pt1sp,17,0.41384,0.21816,16.5625,0.4375,1,
13pt1sp,17.875,0.44128,0.29183,17,0.875,1,row2
13pt1sp,18.4375,0.48152,0.24973,17.875,0.5625,1,
13pt1sp,19,0.51827,0.22284,18.4375,0.5625,1,
13pt1sp,19.8125,0.56479,0.25507,19,0.8125,1,
13pt1sp,20.1875,0.59038,0.25657,19.8125,0.375,1,gap0
13pt1sp,20.8125,0.57814,0.2674,20.1875,0.625,1,row1
13pt1sp,21.5625,0.62495,0.28658,20.8125,0.75,1,row2
13pt1sp,22,0.46871,0.29109,21.6875,0.3125,1,row2
13pt1sp,22.5625,0.3488,0.26372,22,0.5625,1,gap0
13pt1sp,23.1875,0.30612,0.26268,22.5625,0.625,1,gap0
13pt1sp,23.5,0.34591,0.23593,23.1875,0.3125,1,
13pt1sp,23.75,0.39064,0.2253,23.5,0.25,1,
13pt1sp,24.375,0.41187,0.24409,23.8125,0.5625,1,
13pt1sp,25.125,0.48623,0.25396,24.4375,0.6875,1,
13pt1sp,25.875,0.55511,0.25652,25.125,0.75,1,gap0
13pt1sp,26.1875,0.57171,0.25757,25.875,0.3125,1,gap0
13pt1sp,26.8125,0.29414,0.27056,26.25,0.5625,1,row1
13pt1sp,27.75,0.32375,0.30956,27.125,0.625,1,row3
13pt1sp,29.125,0.41906,0.29352,27.75,1.375,1,row2
13pt1sp,29.75,0.46656,0.30315,29.1875,0.5625,1,gap2-row3
13pt1sp,30.25,0.51311,0.2965,29.8125,0.4375,1,gap2
13pt1sp,30.75,0.56406,0.29041,30.25,0.5,1,row2
13pt1sp,31.625,0.59892,0.2747,30.8125,0.8125,1,row1
13pt1sp,32.375,0.65569,0.28732,31.625,0.75,1,row2
13pt1sp,32.6875,0.66296,0.31145,32.375,0.3125,1,row3
13pt1sp,33,0.6548,0.35033,32.6875,0.3125,1,gap5
13pt1sp,33.3125,0.40098,0.32017,33.0625,0.25,1,gap3
13pt1sp,34.25,0.32078,0.33992,33.375,0.875,1,gap4
13pt1sp,34.625,0.33556,0.31456,34.25,0.375,1,gap3
13pt1sp,35.3125,0.39175,0.31546,34.625,0.6875,1,gap3
13pt1sp,36.375,0.43571,0.31876,35.3125,1.0625,1,gap3
13pt1sp,36.5625,0.5585,0.2781,36.375,0.1875,1,gap1
13pt1sp,37,0.59425,0.25856,36.5625,0.4375,1,gap0
13pt1sp,37.25,0.53102,0.26157,37.0625,0.1875,1,gap0
13pt1sp,37.9375,0.42113,0.34542,37.3125,0.625,1,row5
13pt1sp,38.4375,0.30765,0.3339,37.9375,0.5,1,gap4
13pt1sp,38.875,0.3476,0.34549,38.4375,0.4375,1,row5
13pt1sp,39.75,0.37038,0.3289,38.875,0.875,1,row4
