MEDIA_NAME,TIME(2020/06/24 09:34:13.687),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.00000,0.53087,0.46883,0.00000,0.00000,1,,
start screen,0.00000,0.53115,0.46714,0.00000,0.00000,1,,
start screen,0.03125,0.53009,0.46066,0.00000,0.03125,1,,
start screen,0.03125,0.53069,0.45931,0.00000,0.03125,1,,
start screen,0.06250,0.53110,0.45879,0.00000,0.06250,1,,
start screen,0.06250,0.53046,0.45736,0.00000,0.06250,1,,
start screen,0.09375,0.52910,0.45730,0.00000,0.09375,1,,
start screen,0.09375,0.52798,0.45667,0.00000,0.09375,1,,
start screen,0.12500,0.52691,0.45293,0.00000,0.12500,1,,
start screen,0.15625,0.52573,0.44921,0.00000,0.15625,1,,
start screen,0.15625,0.52472,0.44547,0.00000,0.15625,1,,
start screen,0.18750,0.52352,0.44352,0.00000,0.18750,1,,
start screen,0.18750,0.52201,0.44076,0.00000,0.18750,1,,
start screen,0.21875,0.52067,0.43847,0.00000,0.21875,1,,
start screen,0.21875,0.52067,0.43494,0.00000,0.21875,1,,
start screen,0.25000,0.51079,0.40610,0.00000,0.21875,0,,
start screen,0.25000,0.51244,0.37218,0.00000,0.21875,0,,
start screen,0.28125,0.51648,0.36203,0.00000,0.21875,0,,
start screen,0.28125,0.51706,0.35070,0.25000,0.03125,1,,
start screen,0.31250,0.51716,0.34489,0.25000,0.06250,1,,
start screen,0.31250,0.51632,0.34889,0.25000,0.06250,1,,
start screen,0.34375,0.51547,0.34711,0.25000,0.09375,1,,
start screen,0.34375,0.51464,0.34815,0.25000,0.09375,1,,
start screen,0.37500,0.51329,0.35904,0.25000,0.12500,1,,
start screen,0.37500,0.51428,0.36188,0.25000,0.12500,1,,
start screen,0.40625,0.51508,0.36421,0.25000,0.15625,1,,
start screen,0.40625,0.51262,0.36675,0.25000,0.15625,1,,
start screen,0.43750,0.50978,0.37087,0.25000,0.18750,1,,
start screen,0.46875,0.50743,0.37407,0.25000,0.21875,1,,
start screen,0.46875,0.50860,0.37744,0.25000,0.21875,1,,
start screen,0.50000,0.50917,0.37864,0.25000,0.25000,1,,
start screen,0.50000,0.50967,0.37962,0.25000,0.25000,1,,
start screen,0.53125,0.50988,0.37900,0.25000,0.28125,1,,
start screen,0.53125,0.50868,0.37991,0.25000,0.28125,1,,
start screen,0.56250,0.50760,0.38072,0.25000,0.31250,1,,
start screen,0.56250,0.50751,0.37997,0.25000,0.31250,1,,
start screen,0.59375,0.50713,0.37747,0.25000,0.34375,1,,
start screen,0.59375,0.50678,0.37464,0.25000,0.34375,1,,
start screen,0.62500,0.50853,0.37425,0.25000,0.37500,1,,
start screen,0.62500,0.50891,0.37198,0.25000,0.37500,1,,
start screen,0.65625,0.50923,0.37024,0.25000,0.40625,1,,
start screen,0.65625,0.51043,0.36859,0.25000,0.40625,1,,
start screen,0.68750,0.51086,0.36821,0.25000,0.43750,1,,
start screen,0.68750,0.51117,0.36861,0.25000,0.43750,1,,
start screen,0.71875,0.51213,0.36786,0.25000,0.46875,1,,
start screen,0.71875,0.51299,0.36739,0.25000,0.46875,1,,
start screen,0.75000,0.51376,0.36721,0.25000,0.50000,1,,
start screen,0.78125,0.52739,0.34540,0.25000,0.50000,0,,
start screen,0.78125,0.53240,0.39169,0.25000,0.50000,0,,
start screen,0.81250,0.53482,0.40319,0.25000,0.50000,0,,
start screen,0.81250,0.51819,0.39745,0.78125,0.03125,1,,
start screen,0.84375,0.50951,0.38967,0.78125,0.06250,1,,
start screen,0.84375,0.50355,0.38523,0.78125,0.06250,1,,
start screen,0.87500,0.50040,0.38621,0.78125,0.09375,1,,
start screen,0.87500,0.49679,0.39406,0.78125,0.09375,1,,
start screen,0.90625,0.49403,0.40056,0.78125,0.12500,1,,
start screen,0.90625,0.48981,0.40621,0.78125,0.12500,1,,
start screen,0.93750,0.48941,0.40680,0.78125,0.15625,1,,
start screen,0.93750,0.48900,0.40753,0.78125,0.15625,1,,
start screen,0.96875,0.48794,0.40927,0.78125,0.18750,1,,
start screen,0.96875,0.48619,0.41107,0.78125,0.18750,1,,
start screen,1.00000,0.48463,0.41368,0.78125,0.21875,1,,
start screen,1.00000,0.48354,0.41748,0.78125,0.21875,1,,
start screen,1.03125,0.48251,0.41922,0.78125,0.25000,1,,
start screen,1.03125,0.48163,0.41995,0.78125,0.25000,1,,
start screen,1.06250,0.48150,0.42062,0.78125,0.28125,1,,
start screen,1.09375,0.47940,0.42258,0.78125,0.31250,1,,
start screen,1.09375,0.47754,0.42420,0.78125,0.31250,1,,
start screen,1.12500,0.47611,0.42422,0.78125,0.34375,1,,
start screen,1.12500,0.47466,0.42182,0.78125,0.34375,1,,
start screen,1.15625,0.47330,0.41946,0.78125,0.37500,1,,
start screen,1.15625,0.47207,0.41845,0.78125,0.37500,1,,
start screen,1.18750,0.47105,0.41694,0.78125,0.40625,1,,
start screen,1.18750,0.47011,0.41554,0.78125,0.40625,1,,
start screen,1.21875,0.46924,0.41448,0.78125,0.43750,1,,
start screen,1.21875,0.46756,0.41361,0.78125,0.43750,1,,
start screen,1.25000,0.44260,0.40174,0.78125,0.43750,0,,
start screen,1.25000,0.45164,0.39750,0.78125,0.43750,0,,
start screen,1.28125,0.45448,0.39444,0.78125,0.43750,0,,
start screen,1.28125,0.45586,0.39458,1.25000,0.03125,1,,
start screen,1.31250,0.45950,0.39188,1.25000,0.06250,1,,
start screen,1.31250,0.46674,0.38438,1.25000,0.06250,1,,
start screen,1.34375,0.47208,0.37831,1.25000,0.09375,1,,
start screen,1.34375,0.47898,0.37241,1.25000,0.09375,1,,
start screen,1.37500,0.48518,0.36508,1.25000,0.12500,1,,
start screen,1.40625,0.49029,0.35714,1.25000,0.15625,1,,
start screen,1.40625,0.49296,0.34886,1.25000,0.15625,1,,
start screen,1.43750,0.49803,0.34310,1.25000,0.18750,1,,
start screen,1.43750,0.50211,0.33938,1.25000,0.18750,1,,
start screen,1.46875,0.50561,0.33875,1.25000,0.21875,1,,
start screen,1.46875,0.50753,0.33834,1.25000,0.21875,1,,
start screen,1.50000,0.52691,0.31982,1.25000,0.21875,0,,
start screen,1.50000,0.53356,0.32492,1.25000,0.21875,0,,
start screen,1.53125,0.53320,0.31855,1.25000,0.21875,0,,
start screen,1.53125,0.53302,0.31536,1.50000,0.03125,1,,
start screen,1.56250,0.53462,0.31304,1.50000,0.06250,1,,
start screen,1.56250,0.53889,0.30971,1.50000,0.06250,1,,
start screen,1.59375,0.54194,0.30734,1.50000,0.09375,1,,
start screen,1.59375,0.54406,0.30582,1.50000,0.09375,1,,
13pt1.2spB,0.00000,0.54560,0.30500,0.00000,0.00000,1,row2,
13pt1.2spB,0.00000,0.54683,0.30435,0.00000,0.00000,1,row2,
13pt1.2spB,0.03125,0.54571,0.30403,0.00000,0.03125,1,row2,
13pt1.2spB,0.03125,0.54429,0.30333,0.00000,0.03125,1,row2,
13pt1.2spB,0.06250,0.54318,0.30237,0.00000,0.06250,1,row2,
13pt1.2spB,0.06250,0.54326,0.30085,0.00000,0.06250,1,row2,
13pt1.2spB,0.09375,0.54290,0.29964,0.00000,0.09375,1,row2,
13pt1.2spB,0.12500,0.54265,0.29801,0.00000,0.12500,1,row2,
13pt1.2spB,0.12500,0.54400,0.29645,0.00000,0.12500,1,row2,
13pt1.2spB,0.15625,0.54532,0.29369,0.00000,0.15625,1,gap1,
13pt1.2spB,0.15625,0.54636,0.29198,0.00000,0.15625,1,gap1,
13pt1.2spB,0.18750,0.54738,0.29137,0.00000,0.18750,1,gap1,
13pt1.2spB,0.18750,0.54871,0.29180,0.00000,0.18750,1,gap1,
13pt1.2spB,0.21875,0.54985,0.29261,0.00000,0.21875,1,gap1,
13pt1.2spB,0.21875,0.54956,0.29299,0.00000,0.21875,1,gap1,
13pt1.2spB,0.25000,0.54970,0.29307,0.00000,0.25000,1,gap1,
13pt1.2spB,0.25000,0.54987,0.29278,0.00000,0.25000,1,gap1,
13pt1.2spB,0.28125,0.55024,0.29204,0.00000,0.28125,1,gap1,
13pt1.2spB,0.28125,0.55050,0.29094,0.00000,0.28125,1,gap1,
13pt1.2spB,0.31250,0.55070,0.29025,0.00000,0.31250,1,gap1,
13pt1.2spB,0.31250,0.55157,0.28953,0.00000,0.31250,1,gap1,
13pt1.2spB,0.34375,0.55239,0.28871,0.00000,0.34375,1,gap1,
13pt1.2spB,0.37500,0.55315,0.28809,0.00000,0.37500,1,gap1,
13pt1.2spB,0.37500,0.55190,0.28733,0.00000,0.37500,1,gap1,
13pt1.2spB,0.37500,0.54883,0.28599,0.00000,0.37500,1,gap1,
13pt1.2spB,0.40625,0.54592,0.28459,0.00000,0.40625,1,gap1,
13pt1.2spB,0.43750,0.52297,0.26435,0.00000,0.40625,0,,
13pt1.2spB,0.43750,0.43290,0.27432,0.00000,0.40625,0,,
13pt1.2spB,0.46875,0.40287,0.27764,0.00000,0.40625,0,,
13pt1.2spB,0.46875,0.34768,0.28167,0.00000,0.40625,0,,
13pt1.2spB,0.50000,0.35141,0.26621,0.00000,0.40625,0,,
13pt1.2spB,0.50000,0.35231,0.25800,0.00000,0.40625,0,,
13pt1.2spB,0.53125,0.35493,0.24795,0.46875,0.06250,1,,
13pt1.2spB,0.53125,0.35353,0.24493,0.46875,0.06250,1,,
13pt1.2spB,0.56250,0.35267,0.24211,0.46875,0.09375,1,,
13pt1.2spB,0.56250,0.34670,0.24267,0.46875,0.09375,1,,
13pt1.2spB,0.59375,0.34032,0.24230,0.46875,0.12500,1,,
13pt1.2spB,0.59375,0.33554,0.24228,0.46875,0.12500,1,,
13pt1.2spB,0.62500,0.33518,0.24109,0.46875,0.15625,1,,
13pt1.2spB,0.62500,0.33450,0.24059,0.46875,0.15625,1,,
13pt1.2spB,0.65625,0.33398,0.24114,0.46875,0.18750,1,,
13pt1.2spB,0.65625,0.33334,0.24455,0.46875,0.18750,1,,
13pt1.2spB,0.68750,0.33117,0.24716,0.46875,0.21875,1,,
13pt1.2spB,0.68750,0.32932,0.24990,0.46875,0.21875,1,,
13pt1.2spB,0.71875,0.32802,0.25006,0.46875,0.25000,1,,
13pt1.2spB,0.75000,0.32746,0.25025,0.46875,0.28125,1,,
13pt1.2spB,0.75000,0.32690,0.24998,0.46875,0.28125,1,,
13pt1.2spB,0.78125,0.32683,0.24860,0.46875,0.31250,1,,
13pt1.2spB,0.78125,0.32560,0.24879,0.46875,0.31250,1,,
13pt1.2spB,0.81250,0.32442,0.24832,0.46875,0.34375,1,,
13pt1.2spB,0.81250,0.32327,0.24715,0.46875,0.34375,1,,
13pt1.2spB,0.84375,0.32214,0.24630,0.46875,0.37500,1,,
13pt1.2spB,0.84375,0.32111,0.24553,0.46875,0.37500,1,,
13pt1.2spB,0.87500,0.32141,0.24499,0.46875,0.40625,1,,
13pt1.2spB,0.87500,0.32152,0.24483,0.46875,0.40625,1,,
13pt1.2spB,0.90625,0.32167,0.24502,0.46875,0.43750,1,,
13pt1.2spB,0.90625,0.32224,0.24518,0.46875,0.43750,1,,
