MEDIA_NAME,TIME(2020/06/25 09:38:24.887),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.1875,0.41588,0.23192,0,0.1875,1,
start screen,0.5625,0.46309,0.46459,0.25,0.3125,1,
start screen,0.9375,0.48603,0.37081,0.625,0.3125,1,
start screen,1.3125,0.42959,0.37374,0.9375,0.375,1,
20pt1.2sp,0.1875,0.42623,0.38591,0,0.1875,1,gap5
20pt1.2sp,0.4375,0.42124,0.34126,0.1875,0.25,1,gap4
20pt1.2sp,0.8125,0.23782,0.12849,0.5,0.3125,1,
20pt1.2sp,1.125,0.2321,0.09698,0.8125,0.3125,1,
20pt1.2sp,1.5,0.32397,0.09688,1.1875,0.3125,1,
20pt1.2sp,1.75,0.42254,0.08618,1.5,0.25,1,
20pt1.2sp,2.1875,0.52395,0.07547,1.75,0.4375,1,
20pt1.2sp,2.6875,0.60909,0.09266,2.25,0.4375,1,
20pt1.2sp,3.375,0.23177,0.16558,2.75,0.625,1,
20pt1.2sp,3.875,0.31086,0.15358,3.375,0.5,1,
20pt1.2sp,4.375,0.38606,0.14248,3.875,0.5,1,
20pt1.2sp,4.8125,0.49673,0.12771,4.375,0.4375,1,
20pt1.2sp,5.1875,0.59008,0.14056,4.8125,0.375,1,
20pt1.2sp,5.5625,0.23286,0.21626,5.3125,0.25,1,gap0
20pt1.2sp,5.9375,0.2849,0.22706,5.625,0.3125,1,row1
20pt1.2sp,6.25,0.35066,0.20682,5.9375,0.3125,1,gap0
20pt1.2sp,6.4375,0.31731,0.21347,6.25,0.1875,1,gap0
20pt1.2sp,7,0.23819,0.22142,6.5,0.5,1,gap0
20pt1.2sp,7.25,0.3213,0.1978,7,0.25,1,
20pt1.2sp,7.6875,0.39146,0.23864,7.3125,0.375,1,gap1
20pt1.2sp,8.1875,0.46476,0.20915,7.8125,0.375,1,gap0
20pt1.2sp,8.4375,0.38032,0.23234,8.1875,0.25,1,row1
20pt1.2sp,8.875,0.25114,0.28272,8.5,0.375,1,gap2
20pt1.2sp,9.5625,0.3297,0.29971,8.875,0.6875,1,row3
20pt1.2sp,10.1875,0.4236,0.32201,9.5625,0.625,1,gap3
20pt1.2sp,10.6875,0.43995,0.24932,10.1875,0.5,1,gap1
20pt1.2sp,11,0.50085,0.24557,10.6875,0.3125,1,gap1
20pt1.2sp,11.5,0.57519,0.24226,11,0.5,1,gap1
20pt1.2sp,11.875,0.66605,0.2643,11.5,0.375,1,row2
20pt1.2sp,12.1875,0.72815,0.289,11.9375,0.25,1,gap2
20pt1.2sp,12.5625,0.74807,0.30129,12.25,0.3125,1,row3
20pt1.2sp,13.125,0.21232,0.31523,12.625,0.5,1,gap3
20pt1.2sp,13.625,0.26197,0.30447,13.1875,0.4375,1,row3-gap3
20pt1.2sp,13.875,0.31233,0.30549,13.625,0.25,1,row3-gap3
20pt1.2sp,14.0625,0.42472,0.33655,13.9375,0.125,1,row4
20pt1.2sp,14.6875,0.45474,0.29856,14.375,0.3125,1,row3
20pt1.2sp,15,0.54862,0.2948,14.75,0.25,1,row3
20pt1.2sp,15.3125,0.64924,0.31914,15.0625,0.25,1,gap3
20pt1.2sp,15.625,0.72011,0.31149,15.375,0.25,1,gap3
20pt1.2sp,16.125,0.20578,0.3544,15.75,0.375,1,gap4
20pt1.2sp,16.4375,0.26465,0.38326,16.1875,0.25,1,gap5
20pt1.2sp,16.6875,0.34249,0.34727,16.4375,0.25,1,gap4
20pt1.2sp,17.0625,0.40842,0.36802,16.75,0.3125,1,row5
20pt1.2sp,17.4375,0.48824,0.38157,17.0625,0.375,1,gap5
20pt1.2sp,17.8125,0.5555,0.32686,17.4375,0.375,1,gap3
20pt1.2sp,18.0625,0.6186,0.3478,17.875,0.1875,1,gap4
20pt1.2sp,18.5,0.68611,0.37063,18.125,0.375,1,row5
20pt1.2sp,19,0.26646,0.39979,18.5625,0.4375,1,gap5-row6
20pt1.2sp,19.375,0.21115,0.39453,19,0.375,1,gap5
20pt1.2sp,19.75,0.30955,0.41844,19.375,0.375,1,gap6
20pt1.2sp,20.125,0.37822,0.3962,19.75,0.375,1,gap5
20pt1.2sp,20.5,0.47065,0.40631,20.125,0.375,1,row6
20pt1.2sp,20.75,0.29793,0.44636,20.5,0.25,1,row7-gap7
20pt1.2sp,21.125,0.23576,0.45459,20.75,0.375,1,gap7
20pt1.2sp,21.5,0.32587,0.42119,21.125,0.375,1,gap6
20pt1.2sp,21.875,0.42392,0.42381,21.5,0.375,1,gap6
20pt1.2sp,22.125,0.49876,0.44277,21.875,0.25,1,row7
20pt1.2sp,22.4375,0.56834,0.42872,22.1875,0.25,1,gap6
20pt1.2sp,22.875,0.66542,0.4129,22.4375,0.4375,1,gap6
20pt1.2sp,23.25,0.20714,0.49825,22.9375,0.3125,1,gap8
20pt1.2sp,23.3125,0.27029,0.48575,23.25,0.0625,1,gap8
20pt1.2sp,23.875,0.35219,0.46585,23.5625,0.3125,1,gap7
20pt1.2sp,24.375,0.42881,0.44375,23.875,0.5,1,row7
20pt1.2sp,24.625,0.29253,0.48214,24.375,0.25,1,gap8
20pt1.2sp,24.9375,0.19983,0.48473,24.625,0.3125,1,gap8
