MEDIA_NAME,TIME(2020/06/24 09:34:13.687),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.21875,0.52067,0.43494,0,0.21875,1,
start screen,0.75,0.51376,0.36721,0.25,0.5,1,
start screen,1.21875,0.46756,0.41361,0.78125,0.4375,1,
start screen,1.46875,0.50753,0.33834,1.25,0.21875,1,
start screen,1.59375,0.54406,0.30582,1.5,0.09375,1,
13pt1.2spB,0.40625,0.54592,0.28459,0,0.40625,1,gap1
13pt1.2spB,1.125,0.3302,0.24897,0.46875,0.65625,1,
13pt1.2spB,1.90625,0.34489,0.25296,1.125,0.78125,1,
13pt1.2spB,2.4375,0.33284,0.28119,1.9375,0.5,1,row1
13pt1.2spB,2.96875,0.37251,0.26552,2.4375,0.53125,1,gap0
13pt1.2spB,3.84375,0.3842,0.2484,3.21875,0.625,1,
13pt1.2spB,4.25,0.31456,0.49087,3.90625,0.34375,1,gapQuestion
13pt1.2spB,4.90625,0.28898,0.49478,4.28125,0.625,1,gapQuestion
13pt1.2spB,5.625,0.29371,0.50446,4.90625,0.71875,1,gapQuestion
13pt1.2spB,6.1875,0.30347,0.52117,5.65625,0.53125,1,Question
13pt1.2spB,6.59375,0.34681,0.54191,6.1875,0.40625,1,Question
13pt1.2spB,7.21875,0.40332,0.49716,6.59375,0.625,1,gapQuestion
13pt1.2spB,8,0.43461,0.50876,7.25,0.75,1,gapQuestion
13pt1.2spB,8.25,0.4718,0.47083,8,0.25,1,gap9
13pt1.2spB,9.5625,0.49014,0.48654,8.5625,1,1,gapQuestion
13pt1.2spB,10.1875,0.48344,0.50096,9.5625,0.625,1,gapQuestion
13pt1.2spB,11.6875,0.48607,0.48584,10.1875,1.5,1,gapQuestion
13pt1.2spB,11.96875,0.42642,0.48291,11.71875,0.25,1,row10
13pt1.2spB,12.625,0.33017,0.46639,12,0.625,1,gap9
13pt1.2spB,13,0.31036,0.49268,12.625,0.375,1,gapQuestion
13pt1.2spB,13.40625,0.43195,0.52253,13,0.40625,1,Question
13pt1.2spB,13.8125,0.47658,0.49479,13.40625,0.40625,1,gapQuestion
13pt1.2spB,14.21875,0.32143,0.41519,13.875,0.34375,1,row7
13pt1.2spB,14.625,0.31202,0.38628,14.21875,0.40625,1,row6
