MEDIA_NAME,TIME(2020/07/22 18:04:25.858),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.00000,0.19389,0.17344,0.00000,0.00000,1,,
start screen,0.00000,0.19352,0.17407,0.00000,0.00000,1,,
start screen,0.00000,0.19277,0.17330,0.00000,0.00000,1,,
start screen,0.06250,0.19842,0.16573,0.00000,0.06250,1,,
start screen,0.06250,0.20801,0.15456,0.00000,0.06250,1,,
start screen,0.06250,0.21664,0.14459,0.00000,0.06250,1,,
start screen,0.06250,0.24391,0.10945,0.00000,0.06250,0,,
start screen,0.12500,0.29413,0.04146,0.00000,0.06250,0,,
start screen,0.12500,0.31118,0.02268,0.00000,0.06250,0,,
start screen,0.12500,0.34609,0.00041,0.00000,0.06250,0,,
start screen,0.12500,0.35532,0.01682,0.00000,0.06250,0,,
start screen,0.18750,0.35840,0.02229,0.00000,0.06250,0,,
start screen,0.18750,0.35650,0.01286,0.12500,0.06250,1,,
start screen,0.18750,0.35812,0.00979,0.12500,0.06250,1,,
start screen,0.18750,0.35920,0.00774,0.12500,0.06250,1,,
start screen,0.25000,0.35760,0.01124,0.12500,0.12500,1,,
start screen,0.25000,0.35666,0.00972,0.12500,0.12500,1,,
start screen,0.25000,0.35580,0.00777,0.12500,0.12500,1,,
start screen,0.31250,0.35642,0.00239,0.12500,0.18750,1,,
start screen,0.31250,0.35653,0.00137,0.12500,0.18750,1,,
start screen,0.31250,0.35660,0.00038,0.12500,0.18750,1,,
start screen,0.31250,0.37072,0.01172,0.12500,0.18750,1,,
start screen,0.37500,0.39256,0.02719,0.12500,0.25000,1,,
start screen,0.37500,0.41137,0.04152,0.12500,0.25000,1,,
start screen,0.37500,0.45399,0.06961,0.12500,0.25000,0,,
start screen,0.37500,0.57818,0.17359,0.12500,0.25000,0,,
start screen,0.43750,0.61949,0.20868,0.12500,0.25000,0,,
start screen,0.43750,0.69905,0.29250,0.12500,0.25000,0,,
start screen,0.43750,0.70534,0.31246,0.12500,0.25000,0,,
start screen,0.43750,0.70744,0.31912,0.12500,0.25000,0,,
start screen,0.50000,0.70378,0.31707,0.43750,0.06250,1,,
start screen,0.50000,0.70658,0.31364,0.43750,0.06250,1,,
start screen,0.50000,0.70818,0.31265,0.43750,0.06250,1,,
start screen,0.56250,0.70629,0.30868,0.43750,0.12500,1,,
start screen,0.56250,0.70713,0.30945,0.43750,0.12500,1,,
start screen,0.56250,0.70796,0.30919,0.43750,0.12500,1,,
start screen,0.56250,0.70367,0.31037,0.43750,0.12500,1,,
start screen,0.62500,0.68656,0.30810,0.43750,0.18750,1,,
start screen,0.62500,0.67226,0.30588,0.43750,0.18750,1,,
start screen,0.62500,0.65690,0.30531,0.43750,0.18750,1,,
start screen,0.62500,0.64458,0.30584,0.43750,0.18750,1,,
start screen,0.68750,0.63394,0.30655,0.43750,0.25000,1,,
start screen,0.68750,0.59785,0.30011,0.43750,0.25000,0,,
start screen,0.68750,0.54684,0.28339,0.43750,0.25000,0,,
start screen,0.68750,0.52965,0.27209,0.43750,0.25000,0,,
start screen,0.75000,0.48674,0.26885,0.43750,0.25000,0,,
start screen,0.75000,0.47459,0.38439,0.43750,0.25000,0,,
start screen,0.75000,0.47054,0.42291,0.43750,0.25000,0,,
start screen,0.75000,0.48674,0.50722,0.43750,0.25000,0,,
start screen,0.81250,0.49791,0.44968,0.43750,0.25000,0,,
start screen,0.81250,0.50108,0.43718,0.43750,0.25000,0,,
start screen,0.81250,0.51172,0.38772,0.43750,0.25000,0,,
start screen,0.81250,0.51155,0.35436,0.43750,0.25000,0,,
start screen,0.87500,0.51150,0.34324,0.43750,0.25000,0,,
start screen,0.87500,0.51271,0.34808,0.81250,0.06250,1,,
start screen,0.87500,0.51436,0.35251,0.81250,0.06250,1,,
start screen,0.93750,0.51568,0.35323,0.81250,0.12500,1,,
start screen,0.93750,0.51470,0.34549,0.81250,0.12500,1,,
start screen,0.93750,0.51380,0.33862,0.81250,0.12500,1,,
start screen,0.93750,0.51310,0.33327,0.81250,0.12500,1,,
start screen,1.00000,0.51437,0.33211,0.81250,0.18750,1,,
start screen,1.00000,0.51556,0.33148,0.81250,0.18750,1,,
start screen,1.00000,0.51658,0.33120,0.81250,0.18750,1,,
start screen,1.00000,0.51543,0.33259,0.81250,0.18750,1,,
start screen,1.06250,0.51495,0.33290,0.81250,0.25000,1,,
start screen,1.06250,0.51450,0.33290,0.81250,0.25000,1,,
start screen,1.06250,0.51449,0.33358,0.81250,0.25000,1,,
start screen,1.06250,0.51334,0.33157,0.81250,0.25000,1,,
start screen,1.12500,0.51234,0.33004,0.81250,0.31250,1,,
start screen,1.12500,0.51208,0.32964,0.81250,0.31250,1,,
start screen,1.12500,0.51228,0.32962,0.81250,0.31250,1,,
start screen,1.12500,0.51243,0.32898,0.81250,0.31250,1,,
start screen,1.18750,0.51282,0.32921,0.81250,0.37500,1,,
start screen,1.18750,0.51723,0.32686,0.81250,0.37500,1,,
start screen,1.18750,0.52124,0.32507,0.81250,0.37500,1,,
start screen,1.25000,0.52890,0.32358,0.81250,0.43750,1,,
start screen,1.25000,0.56061,0.31206,0.81250,0.43750,0,,
start screen,1.25000,0.63564,0.32224,0.81250,0.43750,0,,
start screen,1.25000,0.65702,0.32146,0.81250,0.43750,0,,
start screen,1.31250,0.69931,0.32635,0.81250,0.43750,0,,
start screen,1.31250,0.69339,0.32655,0.81250,0.43750,0,,
start screen,1.31250,0.69660,0.32103,0.81250,0.43750,0,,
start screen,1.31250,0.69416,0.32623,1.31250,0.00000,1,,
start screen,1.37500,0.69297,0.32785,1.31250,0.06250,1,,
start screen,1.37500,0.69574,0.32012,1.31250,0.06250,1,,
start screen,1.37500,0.70094,0.31684,1.31250,0.06250,1,,
start screen,1.37500,0.70506,0.31341,1.31250,0.06250,1,,
start screen,1.43750,0.70603,0.31323,1.31250,0.12500,1,,
start screen,1.43750,0.70554,0.31264,1.31250,0.12500,1,,
start screen,1.43750,0.70514,0.31216,1.31250,0.12500,1,,
start screen,1.43750,0.70500,0.30957,1.31250,0.12500,1,,
start screen,1.50000,0.70509,0.30508,1.31250,0.18750,1,,
start screen,1.50000,0.70505,0.30180,1.31250,0.18750,1,,
start screen,1.50000,0.69177,0.29937,1.31250,0.18750,1,,
start screen,1.56250,0.68033,0.29717,1.31250,0.25000,1,,
start screen,1.56250,0.67021,0.29545,1.31250,0.25000,1,,
start screen,1.56250,0.66165,0.29437,1.31250,0.25000,1,,
start screen,1.56250,0.62727,0.27845,1.31250,0.25000,0,,
start screen,1.62500,0.57585,0.26760,1.31250,0.25000,0,,
13pt1sp,0.00000,0.55341,0.26141,0.00000,0.00000,0,,
13pt1sp,0.00000,0.51450,0.24968,0.00000,0.00000,0,,
13pt1sp,0.00000,0.51251,0.24645,0.00000,0.00000,0,,
13pt1sp,0.06250,0.50810,0.24737,0.00000,0.00000,0,,
13pt1sp,0.06250,0.50851,0.23963,0.00000,0.06250,1,,
13pt1sp,0.06250,0.50869,0.23584,0.00000,0.06250,1,,
13pt1sp,0.06250,0.50800,0.24068,0.00000,0.06250,1,,
13pt1sp,0.12500,0.50500,0.24286,0.00000,0.12500,1,,
13pt1sp,0.12500,0.50274,0.24451,0.00000,0.12500,1,,
13pt1sp,0.12500,0.50251,0.24895,0.00000,0.12500,1,,
