MEDIA_NAME,TIME(2020/07/29 12:17:00.523),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.375,0.50991,0.42287,0,0.375,1,
start screen,0.875,0.48244,0.35508,0.5,0.375,1,
start screen,1.375,0.46222,0.34304,0.875,0.5,1,
start screen,1.625,0.47845,0.33831,1.375,0.25,1,
13pt1sp,0.125,0.45798,0.32203,0,0.125,1,gap3-row4
13pt1sp,0.375,0.38246,0.31299,0.125,0.25,1,row3
13pt1sp,1.25,0.24868,0.20258,0.5,0.75,1,
13pt1sp,1.75,0.29118,0.15619,1.25,0.5,1,
13pt1sp,2.125,0.35897,0.17092,1.75,0.375,1,
13pt1sp,2.875,0.42169,0.15223,2.25,0.625,1,
13pt1sp,3.375,0.46429,0.17021,2.875,0.5,1,
13pt1sp,4,0.53383,0.19474,3.375,0.625,1,
13pt1sp,4.5,0.5775,0.18868,4,0.5,1,
13pt1sp,4.875,0.55601,0.21099,4.5,0.375,1,
13pt1sp,5.25,0.38952,0.1431,4.875,0.375,1,
13pt1sp,5.5,0.51441,0.17082,5.25,0.25,1,
13pt1sp,5.75,0.5377,0.20626,5.5,0.25,1,
13pt1sp,6.375,0.23653,0.1885,5.75,0.625,1,
13pt1sp,7,0.29272,0.18593,6.5,0.5,1,
13pt1sp,7.375,0.33562,0.17679,7,0.375,1,
13pt1sp,9.125,0.37909,0.19376,7.375,1.75,1,
13pt1sp,9.625,0.40753,0.2026,9.125,0.5,1,
13pt1sp,10.125,0.38961,0.17778,9.625,0.5,1,
13pt1sp,10.625,0.45356,0.17899,10.125,0.5,1,
13pt1sp,11.125,0.4735,0.19881,10.75,0.375,1,
13pt1sp,11.625,0.52859,0.22279,11.25,0.375,1,
13pt1sp,12.25,0.23651,0.20133,11.625,0.625,1,
13pt1sp,13.125,0.30157,0.1972,12.375,0.75,1,
13pt1sp,13.625,0.37816,0.18617,13.125,0.5,1,
