MEDIA_NAME,TIME(2020/08/09 11:23:11.132),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.00000,0.35557,0.11960,0.00000,0.00000,1,,
start screen,0.01538,0.35178,0.11579,0.00000,0.00000,0,,
start screen,0.03333,0.35178,0.11579,0.00000,0.00000,0,,
start screen,0.05164,0.35178,0.11579,0.00000,0.00000,0,,
start screen,0.06726,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.08362,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.09814,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.11499,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.13245,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.14905,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.16418,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.18115,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.19751,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.21350,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.23022,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.24658,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.26233,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.27966,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.29590,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.31165,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.32861,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.34509,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.36133,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.37793,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.39478,0.00000,0.00000,0.00000,0.00000,0,,
start screen,0.41052,0.41592,0.32420,0.00000,0.00000,0,,
start screen,0.42773,0.48624,0.34007,0.00000,0.00000,0,,
start screen,0.44617,0.50968,0.34535,0.00000,0.00000,0,,
start screen,0.46289,0.61982,0.38339,0.00000,0.00000,0,,
start screen,0.47839,0.63975,0.43816,0.00000,0.00000,0,,
start screen,0.49512,0.64640,0.45641,0.00000,0.00000,0,,
start screen,0.51294,0.64821,0.50883,0.00000,0.00000,0,,
start screen,0.52637,0.65687,0.50386,0.00000,0.00000,0,,
start screen,0.54211,0.65976,0.50220,0.00000,0.00000,0,,
start screen,0.55786,0.65784,0.50584,0.51294,0.04492,1,,
start screen,0.57422,0.65050,0.50265,0.51294,0.06128,1,,
start screen,0.59143,0.64561,0.50053,0.51294,0.07849,1,,
start screen,0.60754,0.64453,0.50828,0.51294,0.09460,1,,
start screen,0.62427,0.62789,0.51195,0.51294,0.11133,1,,
start screen,0.64087,0.61495,0.51480,0.51294,0.12793,1,,
start screen,0.65698,0.59714,0.51609,0.51294,0.14404,1,,
start screen,0.67371,0.58401,0.51918,0.51294,0.16077,1,,
start screen,0.69006,0.57308,0.52175,0.51294,0.17712,1,,
start screen,0.70618,0.56449,0.52370,0.51294,0.19324,1,,
start screen,0.72302,0.55507,0.52817,0.51294,0.21008,1,,
start screen,0.73950,0.51868,0.53950,0.51294,0.21008,0,,
start screen,0.75659,0.48893,0.54195,0.51294,0.21008,0,,
start screen,0.77197,0.48011,0.54755,0.51294,0.21008,0,,
start screen,0.79077,0.47570,0.55035,0.73950,0.05127,1,,
start screen,0.80676,0.46799,0.54950,0.73950,0.06726,1,,
start screen,0.82349,0.46408,0.55901,0.73950,0.08398,1,,
start screen,0.83704,0.46128,0.56580,0.73950,0.09753,1,,
start screen,0.85339,0.45947,0.56136,0.73950,0.11389,1,,
start screen,0.87024,0.45932,0.55986,0.73950,0.13074,1,,
start screen,0.88672,0.45921,0.55866,0.73950,0.14722,1,,
